tahun,jenis_usaha,jumlah,keterangan
2019,Hotel Bintang,338,Akomodasi
2019,Hotel Melati,230,Akomodasi
2019,Motel,17,Akomodasi
2019,Cottage,1,Akomodasi
2019,Hunian Wisata,43,Akomodasi
2019,Hostel,1,Akomodasi
2019,Wisma,7,Akomodasi
2019,Restoran,4746,Penyediaan Makan Minum
2019,Bar,1342,Penyediaan Makan Minum
2019,Coffee Shop,10,Penyediaan Makan Minum
2019,Pusat Jajan,63,Penyediaan Makan Minum
2019,Catering,7,Penyediaan Makan Minum
2019,Restoran Bergerak (Mobile Restoran),1,Penyediaan Makan Minum
2019,Biro Perjalanan Wisata,2169,Usaha Jasa Pariwisata
2019,Cabang Biro Perjalanan Wisata,161,Usaha Jasa Pariwisata
2019,Agen Perjalanan Wisata,81,Usaha Jasa Pariwisata
2019,Gerai Jual Perjalanan Wisata,20,Usaha Jasa Pariwisata
2019,Konsultan Pariwisata,4,Impresariat
2019,Informasi Pariwisata,22,Impresariat
2019,Managemen Hotel,16,Impresariat
2019,Balai Pertemuan / Ruang Pertemuan Eksekutif,19,Impresariat
2019,Wisata Tirta,1,Impresariat
2019,Jasa Transportasi,1,Impresariat
2019,Bioskop,269,Hiburan dan Rekreasi
2019,Bola Sodok (Billiard),91,Hiburan dan Rekreasi
2019,Diskotik,81,Hiburan dan Rekreasi
2019,Gelanggang Bola Gelinding,2,Hiburan dan Rekreasi
2019,Gelanggang Renang,2,Hiburan dan Rekreasi
2019,Griya Pijat,304,Hiburan dan Rekreasi
2019,Karaoke,316,Hiburan dan Rekreasi
2019,Klab Malam,8,Hiburan dan Rekreasi
2019,Mandi Uap,9,Hiburan dan Rekreasi
2019,Musik Hidup,229,Hiburan dan Rekreasi
2019,Padang Golf,3,Hiburan dan Rekreasi
2019,Arena Permainan : Sarana Rekreasi Keluarga,110,Hiburan dan Rekreasi
2019,Pijat Refleksi,48,Hiburan dan Rekreasi
2019,Pusat Olahraga & Kesegaran Jasmani,5,Hiburan dan Rekreasi
2019,SPA,18,Hiburan dan Rekreasi
2019,Taman Rekreasi,6,Hiburan dan Rekreasi
2019,Seluncur,2,Hiburan dan Rekreasi
